"type","domain","operation","route_name","path","controller"
"api","notifications","update","api_notifications_read_all","/api/notifications/read-all","App\Controller\Notification\NotificationController::markAllAsRead"
"api","spa-auth","create","spa_api_login_check","/spa/api/login_check","(security/internal)"
"api","spa-auth","create","_logout_refresh_jwt","/spa/api/logout","(security/internal)"
"api","spa-auth","create","gesdinet_jwt_refresh_token","/spa/api/token/refresh","(security/internal)"
"api","spa-auth","delete","spa_api_logout","/spa/api/logout","(security/internal)"
"api","spa-auth","read","spa_api_me","/spa/api/me","App\Controller\SpaApi\MeController"
"web","all_organizations","other","app_all_organizations","/all_organizations","App\Controller\Organization\OrganizationController::allOrganizations"
"web","analytics","create","app_analytics_admin_board_new","/analytics/admin/board/new","App\Controller\Analytics\AnalyticsAdminBoardController::new"
"web","analytics","create","app_analytics_admin_organization_board_create","/analytics/admin/organization/board/create","App\Controller\Analytics\AnalyticsAdminOrganizationBoardController::create"
"web","analytics","create","app_analytics_admin_organization_new","/analytics/admin/organization/new","App\Controller\Analytics\AnalyticsAdminOrganizationController::new"
"web","analytics","create","app_analytics_admin_period_create","/analytics/admin/period/create","App\Controller\Analytics\AnalyticsAdminPeriodController::create"
"web","analytics","create","app_analytics_report_fill_new","/analytics/report/fill-new","App\Controller\Analytics\AnalyticsReportController::fillNew"
"web","analytics","create","app_analytics_report_new","/analytics/report/new","App\Controller\Analytics\AnalyticsReportController::new"
"web","analytics","delete","app_analytics_admin_board_delete","/analytics/admin/board/{id}/delete","App\Controller\Analytics\AnalyticsAdminBoardController::delete"
"web","analytics","delete","app_analytics_admin_board_version_delete","/analytics/admin/board/{id}/version/{versionId}/delete","App\Controller\Analytics\AnalyticsAdminBoardController::deleteVersion"
"web","analytics","delete","app_analytics_admin_organization_delete","/analytics/admin/organization/{id}/delete","App\Controller\Analytics\AnalyticsAdminOrganizationController::delete"
"web","analytics","delete","app_analytics_admin_organization_board_delete","/analytics/admin/organization/board/{id}/delete","App\Controller\Analytics\AnalyticsAdminOrganizationBoardController::delete"
"web","analytics","delete","app_analytics_report_delete","/analytics/report/{id}/delete","App\Controller\Analytics\AnalyticsReportController::delete"
"web","analytics","other","app_analytics_admin_board","/analytics/admin/board","App\Controller\Analytics\AnalyticsAdminBoardController::index"
