"domain","operation","route_name","path","controller","auth_expected"
"kanban","read","api_kanban_cards_show","/api/kanban/cards/{id}","App\Controller\Kanban\Api\KanbanCardApiController::show","session/main firewall + ROLE_USER (catch-all access_control)"
"kanban","read","api_kanban_cards_assign_new_member","/api/kanban/cards/{id}/assign-new-member","App\Controller\Kanban\Api\KanbanCardApiController::assignNewMember","session/main firewall + ROLE_USER (catch-all access_control)"
"kanban","search","api_kanban_users_search","/api/kanban/users/search","App\Controller\Kanban\Api\KanbanUserSearchApiController::search","session/main firewall + ROLE_USER (catch-all access_control)"
"kanban","update","api_kanban_columns_update","/api/kanban/boards/{boardId}/columns/{id}","App\Controller\Kanban\Api\KanbanColumnApiController::update","session/main firewall + ROLE_USER (catch-all access_control)"
"kanban","update","api_kanban_labels_toggle","/api/kanban/boards/{boardId}/labels/cards/{cardId}/{labelId}","App\Controller\Kanban\Api\KanbanLabelApiController::toggleLabel","session/main firewall + ROLE_USER (catch-all access_control)"
"kanban","update","api_kanban_boards_update","/api/kanban/boards/{id}","App\Controller\Kanban\Api\KanbanBoardApiController::update","session/main firewall + ROLE_USER (catch-all access_control)"
"kanban","update","api_kanban_cards_update","/api/kanban/cards/{id}","App\Controller\Kanban\Api\KanbanCardApiController::update","session/main firewall + ROLE_USER (catch-all access_control)"
"kanban","update","api_kanban_cards_archive","/api/kanban/cards/{id}/archive","App\Controller\Kanban\Api\KanbanCardApiController::archive","session/main firewall + ROLE_USER (catch-all access_control)"
"kanban","update","api_kanban_cards_assignees","/api/kanban/cards/{id}/assignees","App\Controller\Kanban\Api\KanbanCardApiController::setAssignees","session/main firewall + ROLE_USER (catch-all access_control)"
"kanban","update","api_kanban_cards_move","/api/kanban/cards/{id}/move","App\Controller\Kanban\Api\KanbanCardApiController::move","session/main firewall + ROLE_USER (catch-all access_control)"
"notifications","read","api_notifications_latest","/api/notifications/latest","App\Controller\Notification\NotificationController::latest","session/main firewall + ROLE_USER (catch-all access_control)"
"notifications","update","api_notifications_read","/api/notifications/{id}/read","App\Controller\Notification\NotificationController::markAsRead","session/main firewall + ROLE_USER (catch-all access_control)"
"notifications","update","api_notifications_read_all","/api/notifications/read-all","App\Controller\Notification\NotificationController::markAllAsRead","session/main firewall + ROLE_USER (catch-all access_control)"
"spa-auth","create","spa_api_login_check","/spa/api/login_check","(security/internal)","public (json_login endpoint)"
"spa-auth","create","_logout_refresh_jwt","/spa/api/logout","(security/internal)","public (refresh_jwt logout path)"
"spa-auth","create","gesdinet_jwt_refresh_token","/spa/api/token/refresh","(security/internal)","public (refresh token endpoint)"
"spa-auth","delete","spa_api_logout","/spa/api/logout","(security/internal)","public (refresh_jwt logout path)"
"spa-auth","read","spa_api_me","/spa/api/me","App\Controller\SpaApi\MeController","jwt (spa_api firewall, ROLE_USER)"
